Class,Region,RegArea,ClassArea,ClassPct
Agriculture,Alaska,1658785180300,333637200,2.0113345836599527e-4
Agriculture,Hawaii,1832083092,295296490,0.16118072989672022
Agriculture,Midwest,1330625106400,607e9,0.4561765722595117
Agriculture,Northeast,570876863600,82136384100,0.14387758435687986
Agriculture,Northern Great Plains,1217321133800,317296444400,0.2606513890131232
Agriculture,Northwest,656247935300,73313114400,0.11171557342345821
Agriculture,Southeast,1404199777100,305e9,0.21720556075709976
Agriculture,Southern Great Plains,1089724007200,304228311100,0.2791792317044587
Agriculture,Southwest,1809124505200,100579318200,0.05559557560074114
Barren,Alaska,1658785180300,132e9,0.0795763077507885
Barren,Hawaii,1832083092,446849286,0.24390230331321675
Barren,Midwest,1330625106400,2138876100,0.001607422022711355
Barren,Northeast,570876863600,2724659100,0.004772761472269271
Barren,Northern Great Plains,1217321133800,6961473e3,0.005718682446815827
Barren,Northwest,656247935300,9409620600,0.01433851459768547
Barren,Southeast,1404199777100,5243829300,0.003734389782363967
Barren,Southern Great Plains,1089724007200,5529300300,0.005074037337405555
Barren,Southwest,1809124505200,67447899e3,0.03728206588663923
Developed,Alaska,1658785180300,1496057400,9.018994248124584e-4
Developed,Hawaii,1832083092,39031496,0.02130443546498272
Developed,Midwest,1330625106400,106002583200,0.07966374803102091
Developed,Northeast,570876863600,58169282400,0.10189462230642762
Developed,Northern Great Plains,1217321133800,28130643e3,0.023108645877351317
Developed,Northwest,656247935300,20983851e3,0.031975492601599355
Developed,Southeast,1404199777100,121513380300,0.08653567838541712
Developed,Southern Great Plains,1089724007200,66734265600,0.06123960301789706
Developed,Southwest,1809124505200,52757325900,0.029161799394325068
Forest,Alaska,1658785180300,344715383700,0.2078119504525935
Forest,Hawaii,1832083092,531562954,0.2901412912553641
Forest,Midwest,1330625106400,299823342800,0.22532518089273895
Forest,Northeast,570876863600,313054304600,0.5483744824161412
Forest,Northern Great Plains,1217321133800,126218044700,0.10368508456433076
Forest,Northwest,656247935300,227961912400,0.34737162608487065
Forest,Southeast,1404199777100,536208437700,0.3818605062075964
Forest,Southern Great Plains,1089724007200,116777781e3,0.10716271296991575
Forest,Southwest,1809124505200,352212602900,0.1946867680403581
Grass/Shrub,Alaska,1658785180300,801746363700,0.4833334498171728
Grass/Shrub,Hawaii,1832083092,473673387,0.25854361577176765
Grass/Shrub,Midwest,1330625106400,38908432800,0.029240717473959725
Grass/Shrub,Northeast,570876863600,19611234900,0.0343528283425778
Grass/Shrub,Northern Great Plains,1217321133800,691e9,0.5676398616714791
Grass/Shrub,Northwest,656247935300,295793197900,0.450733910141416
Grass/Shrub,Southeast,1404199777100,137636192700,0.09801752923237948
Grass/Shrub,Southern Great Plains,1089724007200,546e9,0.501044297815301
Grass/Shrub,Southwest,1809124505200,1193e9,0.6594349900025885
Snow/Ice,Alaska,1658785180300,69719302800,0.042030338604418266
Snow/Ice,Hawaii,1832083092,0,0
Snow/Ice,Midwest,1330625106400,0,0
Snow/Ice,Northeast,570876863600,0,0
Snow/Ice,Northern Great Plains,1217321133800,140352300,1.1529603495987544e-4
Snow/Ice,Northwest,656247935300,642328200,9.787889080464128e-4
Snow/Ice,Southeast,1404199777100,0,0
Snow/Ice,Southern Great Plains,1089724007200,0,0
Snow/Ice,Southwest,1809124505200,656598600,3.6293720974577844e-4
Water,Alaska,1658785180300,199e9,0.11996731244247662
Water,Hawaii,1832083092,21018006,0.011472190367225986
Water,Midwest,1330625106400,175e9,0.13151713368272577
Water,Northeast,570876863600,58257982800,0.10204999801992326
Water,Northern Great Plains,1217321133800,20207351700,0.01659985285634577
Water,Northwest,656247935300,19482382800,0.029687533860344627
Water,Southeast,1404199777100,97594582500,0.06950192137300831
Water,Southern Great Plains,1089724007200,21855704400,0.020056183268052717
Water,Southwest,1809124505200,28972056600,0.016014407254296252
Wetland,Alaska,1658785180300,109774435500,0.06617760804937184
Wetland,Hawaii,1832083092,24651473,0.013455433930722615
Wetland,Midwest,1330625106400,101751871500,0.07646922563733162
Wetland,Northeast,570876863600,36923015700,0.06467772308578106
Wetland,Northern Great Plains,1217321133800,27366824700,0.022481187535594232
Wetland,Northwest,656247935300,8661528e3,0.013198560382579234
Wetland,Southeast,1404199777100,201003354600,0.14314441426213498
Wetland,Southern Great Plains,1089724007200,28598644800,0.02624393388696925
Wetland,Southwest,1809124505200,13498704e3,0.00746145661130587
